date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:40	83736/83736	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:40%20GMT	https://www.nequi.com.co/tarjeta-nequi	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/tarjeta-nequi.html	(from https://www.nequi.com.co/)
17:17:40	59481/59481	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:40%20GMT	https://www.nequi.com.co/nequi-nomina	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/nequi-nomina.html	(from https://www.nequi.com.co/)
17:17:40	47435/47435	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:40%20GMT	https://www.nequi.com.co/tarifas-nequi	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/tarifas-nequi.html	(from https://www.nequi.com.co/)
17:17:41	67300/67300	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:41%20GMT	https://www.nequi.com.co/paga-con-nequi	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/paga-con-nequi.html	(from https://www.nequi.com.co/)
17:17:41	69575/69575	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:41%20GMT	https://www.nequi.com.co/promociones	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/promociones.html	(from https://www.nequi.com.co/)
17:17:41	52852/52852	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:41%20GMT	https://www.nequi.com.co/usa-qr	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/usa-qr.html	(from https://www.nequi.com.co/)
17:17:41	68921/68921	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:41%20GMT	https://www.nequi.com.co/prestamo-propulsor	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/prestamo-propulsor.html	(from https://www.nequi.com.co/)
17:17:42	67953/67953	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:42%20GMT	https://www.nequi.com.co/prestamo-salvavidas	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/prestamo-salvavidas.html	(from https://www.nequi.com.co/)
17:17:42	54131/54131	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:42%20GMT	https://www.nequi.com.co/paypal	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/paypal.html	(from https://www.nequi.com.co/)
17:17:42	50363/50363	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:42%20GMT	https://www.nequi.com.co/remesas	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/remesas.html	(from https://www.nequi.com.co/)
17:17:42	88188/88188	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:42%20GMT	https://www.nequi.com.co/segurisimo	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/segurisimo.html	(from https://www.nequi.com.co/)
17:17:42	30257/30257	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:42%20GMT	https://www.nequi.com.co/negocios	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/negocios.html	(from https://www.nequi.com.co/)
17:17:43	5584/5584	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2010%20Oct%202023%2022:17:43%20GMT	https://ayuda.nequi.com.co/hc/es	C:/Users/Carolain/Downloads/nequi_login/ayuda.nequi.com.co/hc/es.17.delayed	(from https://www.nequi.com.co/)
17:17:43	71519/71519	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:43%20GMT	https://www.nequi.com.co/blog	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/blog.html	(from https://www.nequi.com.co/)
17:17:43	51965/51965	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:43%20GMT	https://www.nequi.com.co/roberto-hurtado-tips-de-seguridad	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/roberto-hurtado-tips-de-seguridad.html	(from https://www.nequi.com.co/)
17:17:44	34060/34060	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:44%20GMT	https://www.nequi.com.co/status	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/status.html	(from https://www.nequi.com.co/)
17:17:44	64531/64531	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:44%20GMT	https://www.nequi.com.co/somos-nequi	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/somos-nequi.html	(from https://www.nequi.com.co/)
17:17:45	67890/67890	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:45%20GMT	https://www.nequi.com.co/nequi-trabaja-con-nosotros	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/nequi-trabaja-con-nosotros.html	(from https://www.nequi.com.co/)
17:17:45	211891/211891	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:45%20GMT	https://comunidad.nequi.co/	C:/Users/Carolain/Downloads/nequi_login/comunidad.nequi.co/index.html	(from https://www.nequi.com.co/)
17:17:45	60086/60086	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:45%20GMT	https://www.nequi.com.co/sala-de-prensa	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/sala-de-prensa.html	(from https://www.nequi.com.co/)
17:17:45	40641/40641	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:45%20GMT	https://www.nequi.com.co/comunicados	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/comunicados.html	(from https://www.nequi.com.co/)
17:17:46	5417/5417	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:46%20GMT	https://transacciones.nequi.com/bdigital/login.jsp	C:/Users/Carolain/Downloads/nequi_login/transacciones.nequi.com/bdigital/login.html	(from https://www.nequi.com.co/)
17:17:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2010%20Oct%202023%2022:17:46%20GMT	https://www.nequi.com.co/emprendimiento	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/emprendimiento	(from https://www.nequi.com.co/)
17:17:46	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Oct%202023%2022:17:47%20GMT	https://transacciones.nequi.com/bdigital/private	C:/Users/Carolain/Downloads/nequi_login/transacciones.nequi.com/bdigital/private	(from https://www.nequi.com.co/)
